DATE DE CLASSEMENT;TYPOLOGIE ÉTABLISSEMENT;CLASSEMENT;CATÉGORIE;MENTION (villages de vacances);NOM COMMERCIAL;ADRESSE;CODE POSTAL;COMMUNE;SITE INTERNET;TYPE DE SÉJOUR;CAPACITÉ D'ACCUEIL (PERSONNES);NOMBRE DE CHAMBRES;NOMBRE D'EMPLACEMENTS;NOMBRE D'UNITES D'HABITATION (résidences de tourisme);NOMBRE DE LOGEMENTS (villages de vacances);classement prorogé
05/06/2023;CAMPING;3 étoiles;TOURISME;-;CAMPING NATURE ET RIVIÈRE;route  de Millau;48210;SAINTE-ENIMIE;https://www.camping-nature-riviere.com/fr/;-;267;-;89;-;-;non
11/08/2022;CAMPING;3 étoiles;TOURISME;-;CAMPING NATURE ET VÉZÈRE;Le pont;19260;PEYRISSAC;https://www.tourismecorreze.com/fr/tourisme_detail/camping_nature_et_vezere.html;-;66;-;22;-;-;non
16/11/2023;CAMPING;3 étoiles;TOURISME;-;CAMPING NATURE LOT’GE;impasse du pit;46200;MAYRAC;www.campinglepic.com;-;150;-;50;-;-;non
11/04/2022;CAMPING;3 étoiles;LOISIRS;-;CAMPING NATURE OCÉAN;Le Petit Teno;56190;BILLIERS;https://www.camping-natureocean.fr/;-;400;-;100;-;-;non
02/07/2025;CAMPING;5 étoiles;TOURISME;-;CAMPING NATURE PARC L'ARDECHOIS;Route des gorges de l'Ardèche;07150;VALLON-PONT-D'ARC;http://www.ardechois-camping.com;-;732;-;244;-;-;non
17/10/2022;CAMPING;1 étoile;TOURISME;-;CAMPING NATURISTE DU MAS DE LA BALMA;Route de taulis;66110;MONTBOLO;https://www.labalma.fr/;-;150;-;50;-;-;non
05/05/2022;CAMPING;3 étoiles;TOURISME;-;CAMPING NATURISTE LA CLAPÈRE;Route Départementale 13;66480;MAUREILLAS-LAS-ILLAS;https://www.clapere.com/;-;600;-;200;-;-;non
21/09/2022;CAMPING;2 étoiles;TOURISME;-;CAMPING NATURISTE LE CLOS MAROT;Route du Marault;44420;PIRIAC-SUR-MER;http://www.anca-piriac.com/;-;192;-;64;-;-;non
19/05/2022;CAMPING;4 étoiles;TOURISME;-;CAMPING NATURISTE LE COUDERC;Le Couderc;24440;NAUSSANNES;https://www.lecouderc.com/fr/;-;567;-;189;-;-;non
02/05/2023;CAMPING;4 étoiles;TOURISME;-;CAMPING NATURISTE LE DOMAINE DE LA GAGÈRE;Lieu-Dit La Gagère;58170;LUZY;http://la-gagere.com;-;378;-;126;-;-;non
22/06/2022;CAMPING;3 étoiles;TOURISME;-;CAMPING NATURISTE LE FISCALOU;Lieu-dit Sicardels;81140;PUYCELSI;https://www.fiscalou.fr/;-;174;-;58;-;-;non
12/10/2022;CAMPING;4 étoiles;TOURISME;-;CAMPING NATURISTE LOUS SUAIS;1 chemin des Suais;87460;CHEISSOUX;http://www.loussuais.com;-;240;-;80;-;-;non
30/09/2022;CAMPING;3 étoiles;TOURISME;-;CAMPING NATURISTE PALLIETER;La Ville Menier;22130;BOURSEUL;http://www.pallieter.fr;-;276;-;92;-;-;non
26/06/2023;CAMPING;2 étoiles;TOURISME;-;CAMPING NATUR’O MÉDOC;51 route de la gare;33990;NAUJAC-SUR-MER;https://www.campingnaturomedoc.com/;-;450;-;150;-;-;non
07/11/2022;CAMPING;1 étoile;LOISIRS;-;CAMPING NEIZ VRAN;Pointe De Neiz-Vran;29890;KERLOUAN;-;-;93;-;31;-;-;non
21/04/2022;CAMPING;4 étoiles;TOURISME;-;CAMPING NEPTUNE;46 boulevard du Saint Christ;34300;AGDE;https://www.campingleneptune.com;-;652;-;163;-;-;non
23/07/2024;CAMPING;3 étoiles;TOURISME;-;CAMPING NEUFONT;OTI GRAND PERIGUEUX 1055 ROUTE DU LAC;24380;SAINT-AMAND-DE-VERGT;https://campingneufont.com/;-;246;-;78;-;-;non
12/09/2022;CAMPING;3 étoiles;LOISIRS;-;CAMPING NEW DAY;Route départementale 612;34110;VIC-LA-GARDIOLE;http://www.campingnewday.fr;-;330;-;110;-;-;non
09/06/2023;CAMPING;3 étoiles;TOURISME;-;CAMPING NEW RABIOUX;Saint James;05380;CHÂTEAUROUX-LES-ALPES;https://www.camping-new-rabioux.fr/;-;306;-;102;-;-;non
24/11/2022;CAMPING;3 étoiles;TOURISME;-;CAMPING NOSTRADAMUS;2837 route d'Eyguières;13300;SALON-DE-PROVENCE;http://www.camping-nostradamus.com/;-;249;-;83;-;-;non
18/10/2022;CAMPING;3 étoiles;TOURISME;-;CAMPING NOTRE DAME DU VERGER;La ville aumont;35260;CANCALE;http://www.camping-verger.com/;-;156;-;52;-;-;non
07/09/2022;CAMPING;5 étoiles;TOURISME;-;CAMPING NOUVELLE FLORIDE LES MÉDITERRANÉES;Avenue des campings;34340;MARSEILLAN;https://www.lesmediterranees.com/camping-nouvelle-floride-marseillan-plage;-;1419;-;473;-;-;non
25/06/2021;CAMPING;3 étoiles;LOISIRS;-;CAMPING NOVELA;406 boulevard Francis Vals;11210;PORT-LA-NOUVELLE;https://www.tohapi.fr/languedoc-roussillon/camping-municipal-le-golfe.php;-;6;-;167;-;-;non
30/05/2023;CAMPING;1 étoile;TOURISME;-;CAMPING NUTCHEL FRANCE;Route de Salm, 724;67420;PLAINE;https://nutchel.be/;-;174;-;37;-;-;non
28/10/2024;CAMPING;3 étoiles;TOURISME;-;CAMPING OAKI;la tricherie;85500;MESNARD-LA-BAROTIÈRE;https://campingoaki.com;-;219;-;73;-;-;non
04/05/2023;CAMPING;2 étoiles;TOURISME;-;CAMPING OASIS;Boulevard Anatole France;14780;LION-SUR-MER;https://www.normandie-sur-mer.fr/campings/camping-oasis-lion-sur-mer/;-;366;-;122;-;-;non
03/11/2025;CAMPING;1 étoile;LOISIRS;-;CAMPING OASIS DE CABOURG;89 avenue charles de gaulle;14390;CABOURG;-;-;174;-;58;-;-;non
25/08/2022;CAMPING;3 étoiles;TOURISME;-;CAMPING OASIS DES GARRIGUES;Quartier Brugière;07200;VOGÜÉ;http://www.oasisdesgarrigues.com;-;177;-;59;-;-;non
11/08/2022;CAMPING;5 étoiles;LOISIRS;-;CAMPING OASIS VILLAGE;Route de la bouverie;83480;PUGET-SUR-ARGENS;https://www.camping-parcsaintjames.com/;-;1400;-;467;-;-;non
06/11/2023;CAMPING;1 étoile;LOISIRS;-;CAMPING OBEN AM DAMM;80 rue du Rhin;67470;MUNCHHAUSEN;https://www.munchhausen.fr/campings-communaux/;-;132;-;44;-;-;non
13/06/2022;CAMPING;4 étoiles;LOISIRS;-;CAMPING OCCITANIE II;Chemin de Querelle;34410;SÉRIGNAN;https://siblu.fr/camping-les-sables-du-midi;-;291;-;97;-;-;non
19/04/2022;CAMPING;3 étoiles;TOURISME;-;CAMPING ODALYS DOMAINE ÉLYSÉE;980 route de l'Espiguette;30240;LE GRAU-DU-ROI;https://www.odalys-vacances.com/location-mer/languedoc-roussillon/le-grau-du-roi-port-camargue/elysee.html;-;2800;-;697;-;-;non
25/04/2022;CAMPING;3 étoiles;TOURISME;-;CAMPING ODALYS LA PINÈDE;13 rue du Luxembourg;34300;AGDE;https://www.odalys-vacances.com/location-mer/languedoc-roussillon/cap-d-agde/la-pinede.html#;-;524;-;131;-;-;non
05/06/2023;CAMPING;4 étoiles;TOURISME;-;CAMPING ODALYS LES DUNES;les conches;85560;LONGEVILLE-SUR-MER;https://www.odalys-vacances.com/location-mer/pays-de-la-loire/longeville-sur-mer/les-dunes.html#;-;1000;-;241;-;-;non
23/06/2023;CAMPING;3 étoiles;TOURISME;-;CAMPING ODE VRAS;Odé Vras;29430;PLOUNÉVEZ-LOCHRIST;https://www.campingodevras.fr/;-;351;-;117;-;-;non
26/10/2022;CAMPING;3 étoiles;TOURISME;-;CAMPING OLBIA;545 avenue René de Knyff;83400;HYÈRES;https://www.camping-olbia.com/;-;303;-;101;-;-;non
06/09/2024;CAMPING;1 étoile;TOURISME;-;CAMPING OLMELLO;OLMELLO;20221;VALLE-DI-CAMPOLORO;http://www.camping-olmello-corse.fr/;-;453;-;151;-;-;non
23/12/2022;CAMPING;3 étoiles;TOURISME;-;CAMPING OLVA;route de la castagna;20100;SARTÈNE;www.camping-olva.com;-;405;-;135;-;-;non
31/07/2023;CAMPING;4 étoiles;TOURISME;-;CAMPING OLÉRON LOISIRS;Lieu-dit la Jousselinière;17190;SAINT-GEORGES-D'OLÉRON;https://www.aloa-vacances.com/oleron-loisirs/accueil/;-;924;-;308;-;-;non
19/07/2023;CAMPING;3 étoiles;TOURISME;-;CAMPING OMAHA BEACH;rue de la herode;14710;VIERVILLE-SUR-MER;https://www.camping-omaha-beach.fr/;-;939;-;313;-;-;non
